<details> <summary> <b>openwrt new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
73da0f6334|Thomas Richard|Fri Nov 29 11:53:14 2024 +0100|arm-trusted-firmware-stm32: bump to v2.12
c117d7a37a|Thomas Richard|Fri Nov 29 11:36:46 2024 +0100|include/trusted-firmware-a.mk: remove the no-warn-rwx-segments hack
5292a2de26|Thomas Richard|Thu Nov 28 18:05:29 2024 +0100|uboot-stm32: bump to 2024.10
2398cad2b5|Thomas Richard|Thu Nov 28 17:28:47 2024 +0100|optee-os-stm32: bump to 4.4.0
91966bee33|Rosen Penev|Sat Jun 15 14:23:02 2024 -0700|ath79: nbg6x16: use nvmem
4585d5abd9|Hauke Mehrtens|Sun Dec 22 16:41:11 2024 +0100|kernel: generic: netfilter: nft_set_hash: unaligned atomic read on struct  nft_set_ext
e0813dc071|Jianyu Zhuang|Tue Dec 10 15:38:20 2024 +0800|mediatek: filogic: add support for Tenbay WR3000K
6992d6e51a|Maxim Anisimov|Tue Dec 10 16:37:02 2024 +0300|mediatek/filogic: add support for Cudy AP3000 v1
dc655dcfca|Rani Hod|Sun Dec 22 02:53:51 2024 +0200|linux-firmware: package MediaTek MT7925 Bluetooth firmware
5a7fb834c7|Tianling Shen|Wed Oct 16 16:05:40 2024 +0800|mediatek: update openembed som7981 support
9d434a8abf|Tianling Shen|Wed Oct 16 16:05:40 2024 +0800|kernel: crypto: add atmel i2c hw accelerator support
a7f4155f54|Jonas Jelonek|Wed Dec 18 21:57:22 2024 +0100|kernel: netdevices: add driver for Broadcom NetXtreme-C/E
</details>
